id,url,browser,browser_version,engine,engine_version,os,os_version,created
5e8137270f0f8f0017b4fde7,/,Chrome Headless,79.0.3945.0,Blink,79.0.3945.0,Linux,x86_64,2020-03-30T00:02:47.574Z
5e819a28a7926600178b6fe3,/,Chrome,74.0.3729.169,Blink,74.0.3729.169,Windows,10,2020-03-30T07:05:12.212Z
5e81a70ea7926600178b6fe5,/blog/dom-intro/,Chrome,80.0.3987.149,Blink,80.0.3987.149,Android,6.0,2020-03-30T08:00:14.275Z
5e81c47da7926600178b6feb,/,Safari,13.1,WebKit,605.1.15,Mac OS,10.14.6,2020-03-30T10:05:49.324Z
5e8201eea7926600178b6ffe,/,Chrome,80.0.3987.149,Blink,80.0.3987.149,Mac OS,10.15.3,2020-03-30T14:27:58.005Z
5e820209a7926600178b6fff,/blog/pitfalls-of-async-functions/,Chrome,80.0.3987.149,Blink,80.0.3987.149,Mac OS,10.15.3,2020-03-30T14:28:25.255Z
5e82025ea7926600178b7000,/blog/pitfalls-of-async-functions/,Chrome,80.0.3987.149,Blink,80.0.3987.149,Mac OS,10.15.3,2020-03-30T14:29:50.970Z
5e820c39a7926600178b7004,/blog/gatsby-future/,Chrome,80.0.3987.132,Blink,80.0.3987.132,Mac OS,10.15.3,2020-03-30T15:11:53.463Z
5e8238caa7926600178b700b,/,Chrome,74.0.3729.169,Blink,74.0.3729.169,Windows,10,2020-03-30T18:22:02.215Z
5e825355a7926600178b7028,/blog/react-ui-testing/,Mobile Safari,13.1,WebKit,605.1.15,iOS,13.4,2020-03-30T20:15:17.927Z
